"","response_uuid","Age","Trial","Usable frames (%)","person_good"
"205","33f4dfee-b330-49b3-a70d-c5497436bfe9","12","7",0.95364238410596,0.222222222222222
"206","33f4dfee-b330-49b3-a70d-c5497436bfe9","12","8",0.966442953020134,0.854166666666667
"207","33f4dfee-b330-49b3-a70d-c5497436bfe9","12","9",0.986842105263158,0.286666666666667
"208","388e70f5-902e-4197-9bf0-61e5f32de097","12","1",0.846666666666667,0.606299212598425
"209","388e70f5-902e-4197-9bf0-61e5f32de097","12","2",0.88,0.68939393939394
"210","388e70f5-902e-4197-9bf0-61e5f32de097","12","3",0.906040268456376,0.637037037037037
"211","388e70f5-902e-4197-9bf0-61e5f32de097","12","4",0.92,0.384057971014493
"212","388e70f5-902e-4197-9bf0-61e5f32de097","12","5",0.881578947368421,0.947761194029851
"213","388e70f5-902e-4197-9bf0-61e5f32de097","12","6",0.827814569536424,0.696
"214","388e70f5-902e-4197-9bf0-61e5f32de097","12","7",0.768211920529801,0.862068965517241
"215","388e70f5-902e-4197-9bf0-61e5f32de097","12","8",0.885906040268456,0.393939393939394
"216","388e70f5-902e-4197-9bf0-61e5f32de097","12","9",0.953947368421053,0.158620689655172
"217","388e70f5-902e-4197-9bf0-61e5f32de097","12","10",0.743169398907104,0.794117647058823
"218","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","1",0.96,0.736111111111111
"219","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","2",0.966666666666667,0.620689655172414
"220","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","3",0.986577181208054,0.517006802721088
"221","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","4",1,0.506666666666667
"222","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","5",0.967105263157895,0.816326530612245
"223","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","6",0.635761589403974,0.385416666666667
"224","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","7",0.384105960264901,0.810344827586207
"225","47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","8",0.932885906040268,0.640287769784173
"226","484c17b3-9364-461b-80e7-1e3a2715ee8e","12","2",0.86,0.511627906976744
"227","484c17b3-9364-461b-80e7-1e3a2715ee8e","12","3",0.785234899328859,0.555555555555556
"228","484c17b3-9364-461b-80e7-1e3a2715ee8e","12","4",0.78,0.564102564102564
"229","484c17b3-9364-461b-80e7-1e3a2715ee8e","12","5",0.782894736842105,0.966386554621849
"230","484c17b3-9364-461b-80e7-1e3a2715ee8e","12","6",0.933774834437086,0.574468085106383
"231","484c17b3-9364-461b-80e7-1e3a2715ee8e","12","7",0.52317880794702,0.734177215189873
"232","484c17b3-9364-461b-80e7-1e3a2715ee8e","12","8",0.624161073825503,0.483870967741935
"233","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","2",0.893333333333333,0.261194029850746
"234","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","3",0.838926174496644,0.112
"235","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","4",0.966666666666667,0.779310344827586
"236","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","5",0.881578947368421,0.664179104477612
"237","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","6",0.966887417218543,0.136986301369863
"238","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","7",0.894039735099338,0.444444444444444
"239","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","8",0.966442953020134,0.5
"240","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","9",0.986842105263158,0.68
"241","4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6","10",0.666666666666667,0.778688524590164
"242","500df8d0-a283-43bd-b60b-dd291f0484b0","12","1",0.86,0.674418604651163
