"response_uuid","Age","Trial Total","target_prop","Stimulus type"
"82e131df-e2ce-47da-9b19-990c27fa04a7","12",3,0.5855,"Non-social"
"82e131df-e2ce-47da-9b19-990c27fa04a7","12",4,0.645,"Non-social"
"84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12",1,0.5545,"Non-social"
"84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12",2,0.5,"Non-social"
"84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12",4,0.5795,"Non-social"
"84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12",5,0.571,"Social"
"84d5c1e5-cadb-46dd-aca5-1a906e3916ca","12",6,0.4925,"Social"
"88ff4560-925e-4786-a72a-41dcb62716b6","12",1,0.489,"Non-social"
"8a362df5-0bae-43b3-a757-fd160cf111aa","6",1,0.5655,"Non-social"
"8a362df5-0bae-43b3-a757-fd160cf111aa","6",2,0.46,"Non-social"
"8a362df5-0bae-43b3-a757-fd160cf111aa","6",3,0.402,"Non-social"
"8a362df5-0bae-43b3-a757-fd160cf111aa","6",4,0.497,"Non-social"
"8a362df5-0bae-43b3-a757-fd160cf111aa","6",5,0.587,"Social"
"8a362df5-0bae-43b3-a757-fd160cf111aa","6",6,0.232,"Social"
"8df921fc-7c18-41bf-8a95-f3ebc3668b4f","6",3,0.698,"Non-social"
"924bd4e6-f346-4f1a-9c6b-c6db75dd7afb","6",1,0.519,"Non-social"
"924bd4e6-f346-4f1a-9c6b-c6db75dd7afb","6",2,0.082,"Non-social"
"924bd4e6-f346-4f1a-9c6b-c6db75dd7afb","6",3,0.532,"Non-social"
"924bd4e6-f346-4f1a-9c6b-c6db75dd7afb","6",4,0.336,"Non-social"
"924bd4e6-f346-4f1a-9c6b-c6db75dd7afb","6",5,0.553,"Social"
"924bd4e6-f346-4f1a-9c6b-c6db75dd7afb","6",6,0.4055,"Social"
"948f9377-b3b7-4910-87d6-b64eeee52434","6",1,0.414,"Non-social"
"948f9377-b3b7-4910-87d6-b64eeee52434","6",2,0.61,"Non-social"
"948f9377-b3b7-4910-87d6-b64eeee52434","6",3,0.323,"Non-social"
"948f9377-b3b7-4910-87d6-b64eeee52434","6",4,0.542,"Non-social"
"948f9377-b3b7-4910-87d6-b64eeee52434","6",5,0.7915,"Social"
"948f9377-b3b7-4910-87d6-b64eeee52434","6",6,0.6495,"Social"
"95b2ce0f-c3c6-4de4-8d32-9f050ab5c501","6",1,0.763,"Non-social"
"96525cba-df8a-4248-90f6-220441592b0e","12",1,0.6555,"Non-social"
"96525cba-df8a-4248-90f6-220441592b0e","12",2,0.549,"Non-social"
"96525cba-df8a-4248-90f6-220441592b0e","12",3,0.6035,"Non-social"
"96525cba-df8a-4248-90f6-220441592b0e","12",4,0.589,"Non-social"
"96525cba-df8a-4248-90f6-220441592b0e","12",5,0.605,"Social"
"9fd3fdc0-0d1d-4684-8567-479616056287","6",1,0.644,"Non-social"
"9fd3fdc0-0d1d-4684-8567-479616056287","6",4,0.5175,"Non-social"
"9fd3fdc0-0d1d-4684-8567-479616056287","6",6,0.4985,"Social"
"9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12",1,0.624,"Non-social"
"9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12",2,0.688,"Non-social"
"9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12",3,0.626,"Non-social"
"9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12",4,0.549,"Non-social"
"9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12",5,0.82,"Social"
"9fd4e3f9-ea8a-48df-a526-04bdbc59ac79","12",6,0.555,"Social"
"a0fe20d1-1d1b-420a-9cf1-5d3077547554","6",1,0.5275,"Non-social"
"a0fe20d1-1d1b-420a-9cf1-5d3077547554","6",2,0.685,"Non-social"
"a0fe20d1-1d1b-420a-9cf1-5d3077547554","6",3,0.562,"Non-social"
"a0fe20d1-1d1b-420a-9cf1-5d3077547554","6",4,0.912,"Non-social"
"a0fe20d1-1d1b-420a-9cf1-5d3077547554","6",5,0.867,"Social"
"a0fe20d1-1d1b-420a-9cf1-5d3077547554","6",6,0.264,"Social"
"a41efa95-31e9-4d20-ac63-5662316bd7e5","6",1,0.515,"Non-social"
"a41efa95-31e9-4d20-ac63-5662316bd7e5","6",2,0.5985,"Non-social"
"a41efa95-31e9-4d20-ac63-5662316bd7e5","6",3,0.548,"Non-social"
"a41efa95-31e9-4d20-ac63-5662316bd7e5","6",4,0.61,"Non-social"
"a41efa95-31e9-4d20-ac63-5662316bd7e5","6",5,0.7175,"Social"
"a4731982-01e9-4848-a2f0-a62d433a2ff1","6",1,0.4205,"Non-social"
"a4731982-01e9-4848-a2f0-a62d433a2ff1","6",2,0.608,"Non-social"
"a4731982-01e9-4848-a2f0-a62d433a2ff1","6",3,0.493,"Non-social"
"a4731982-01e9-4848-a2f0-a62d433a2ff1","6",4,0.5055,"Non-social"
"a4731982-01e9-4848-a2f0-a62d433a2ff1","6",5,0.6245,"Social"
"a4731982-01e9-4848-a2f0-a62d433a2ff1","6",6,0.432,"Social"
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12",1,0.3885,"Non-social"
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12",2,0.555,"Non-social"
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12",3,0.563,"Non-social"
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12",4,0.628,"Non-social"
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12",5,0.516,"Social"
"a5dedd8f-fc40-40d4-a794-01c2637fc2ce","12",6,0.42,"Social"
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12",1,0.707,"Non-social"
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12",2,0.465,"Non-social"
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12",3,0.572,"Non-social"
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12",4,0.588,"Non-social"
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12",5,0.713,"Social"
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12",6,0.18,"Social"
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6",1,0.443,"Non-social"
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6",2,0.438,"Non-social"
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6",3,0.358,"Non-social"
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6",4,0.7285,"Non-social"
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6",5,0.6145,"Social"
"a8aae5c6-ec9b-4dfd-a9c1-4f5976d2d60f","6",6,0.723,"Social"
"aac0690d-0aa0-4ba1-923c-8d11717f228b","12",1,0.4475,"Non-social"
"aac0690d-0aa0-4ba1-923c-8d11717f228b","12",2,0.583,"Non-social"
"aac0690d-0aa0-4ba1-923c-8d11717f228b","12",3,0.696,"Non-social"
"aac0690d-0aa0-4ba1-923c-8d11717f228b","12",4,0.735,"Non-social"
"aac0690d-0aa0-4ba1-923c-8d11717f228b","12",5,0.6905,"Social"
"aac0690d-0aa0-4ba1-923c-8d11717f228b","12",6,0.854,"Social"
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6",1,0.5565,"Non-social"
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6",2,0.556,"Non-social"
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6",3,0.543,"Non-social"
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6",4,0.138,"Non-social"
