"","response_uuid","Age","Trial","Usable frames (%)","synch_good"
"258","b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","5",0.870324189526185,0.33810888252149
"259","b9679102-1cee-4edb-9cd4-00f0aba34ed2","6","6",0.643391521197007,0.883720930232558
"260","be476632-1647-4ae8-8497-1d82d41d32b6","6","1",0.755610972568579,0.280528052805281
"261","be476632-1647-4ae8-8497-1d82d41d32b6","6","2",0.58354114713217,0.739316239316239
"262","be476632-1647-4ae8-8497-1d82d41d32b6","6","3",0.87,0.640804597701149
"263","be476632-1647-4ae8-8497-1d82d41d32b6","6","4",0.482587064676617,0.768041237113402
"264","be476632-1647-4ae8-8497-1d82d41d32b6","6","5",0.468827930174564,0.0638297872340425
"265","be476632-1647-4ae8-8497-1d82d41d32b6","6","6",0.386533665835411,0.632258064516129
"266","c249ac99-7103-4d9f-a385-6433ef511b7a","6","1",0.790523690773067,0.593059936908517
"267","c249ac99-7103-4d9f-a385-6433ef511b7a","6","2",0.526184538653367,0.696682464454976
"268","c249ac99-7103-4d9f-a385-6433ef511b7a","6","3",0.875,0.531428571428571
"269","c249ac99-7103-4d9f-a385-6433ef511b7a","6","4",0.577114427860697,0.676724137931034
"270","c249ac99-7103-4d9f-a385-6433ef511b7a","6","5",0.438902743142145,0.551136363636364
"271","c249ac99-7103-4d9f-a385-6433ef511b7a","6","6",0.538653366583541,0.273148148148148
"272","c2518325-256a-47ae-a0f7-d968e9367e31","12","1",0.406483790523691,0.533742331288344
"273","cd0bcb7f-64fb-4cd3-85eb-74011bc1f834","6","1",0.925187032418953,0.466307277628032
"274","cd0bcb7f-64fb-4cd3-85eb-74011bc1f834","6","2",0.384039900249377,0.207792207792208
"275","ce3576ae-b709-4de2-9d36-32dc5df83253","12","1",0.855361596009975,0.720116618075802
"276","ce3576ae-b709-4de2-9d36-32dc5df83253","12","2",0.628428927680798,0.238095238095238
"277","ce3576ae-b709-4de2-9d36-32dc5df83253","12","3",0.59,0.610169491525424
"278","ce3576ae-b709-4de2-9d36-32dc5df83253","12","4",0.651741293532338,0.301526717557252
